Data;Commodities - alumínio - cotação internacional - US$ - Fundo Monetário Internacional, International Financial Statistics (FMI/IFS) - IFS12_ALUMP12;
1957.01;542,3;
1957.02;542,3;
1957.03;542,3;
1957.04;542,3;
1957.05;542,3;
1957.06;542,3;
1957.07;542,3;
1957.08;542,3;
1957.09;542,3;
1957.10;542,3;
1957.11;542,3;
1957.12;542,3;
1958.01;542,3;
1958.02;542,3;
1958.03;542,3;
1958.04;496;
1958.05;496;
1958.06;496;
1958.07;496;
1958.08;496;
1958.09;496;
1958.10;496;
1958.11;496;
1958.12;496;
1959.01;496;
1959.02;496;
1959.03;496;
1959.04;496;
1959.05;496;
1959.06;496;
1959.07;496;
1959.08;496;
1959.09;496;
1959.10;496;
1959.11;496;
1959.12;504,9;
1960.01;511,5;
1960.02;511,5;
1960.03;511,5;
1960.04;511,5;
1960.05;511,5;
1960.06;511,5;
1960.07;511,5;
1960.08;511,5;
1960.09;511,5;
1960.10;511,5;
1960.11;511,5;
1960.12;511,5;
1961.01;511,5;
1961.02;511,5;
1961.03;511,5;
1961.04;511,5;
1961.05;511,5;
1961.06;511,5;
1961.07;511,5;
1961.08;511,5;
1961.09;511,5;
1961.10;511,5;
1961.11;511,5;
1961.12;511,5;
1962.01;511,5;
1962.02;504,9;
1962.03;496;
1962.04;496;
1962.05;496;
1962.06;496;
1962.07;496;
1962.08;496;
1962.09;496;
1962.10;496;
1962.11;496;
1962.12;496;
1963.01;496;
1963.02;496;
1963.03;496;
1963.04;496;
1963.05;496;
1963.06;496;
1963.07;496;
1963.08;496;
1963.09;496;
1963.10;507,1;
1963.11;507,1;
1963.12;507,1;
1964.01;507,1;
1964.02;524,7;
1964.03;524,7;
1964.04;529,1;
1964.05;529,1;
1964.06;529,1;
1964.07;529,1;
1964.08;529,1;
1964.09;529,1;
1964.10;529,1;
1964.11;529,1;
1964.12;540,1;
1965.01;540,1;
1965.02;540,1;
1965.03;540,1;
1965.04;540,1;
1965.05;540,1;
1965.06;540,1;
1965.07;540,1;
1965.08;540,1;
1965.09;540,1;
1965.10;540,1;
1965.11;540,1;
1965.12;540,1;
1966.01;540,1;
1966.02;540,1;
1966.03;540,1;
1966.04;540,1;
1966.05;540,1;
1966.06;540,1;
1966.07;540,1;
1966.08;540,1;
1966.09;540,1;
1966.10;540,1;
1966.11;540,1;
1966.12;540,1;
1967.01;540,1;
1967.02;540,1;
1967.03;540,1;
1967.04;540,1;
1967.05;540,1;
1967.06;540,1;
1967.07;540,1;
1967.08;540,1;
1967.09;540,1;
1967.10;540,1;
1967.11;540,1;
1967.12;540,1;
1968.01;540,1;
1968.02;540,1;
1968.03;540,1;
1968.04;540,1;
1968.05;540,1;
1968.06;562,2;
